MonitoringLocationID,MonitoringLocationName,Date,Characteristic,Value,Unit,Latitude,Longitude,Year
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-09-23,"Total Phosphorus, mixed forms",0.565,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-06-18,Chloride,14.9,mg/L,39.992569,-97.931967,2024
EPA_R7_WQX-SC555,Marais des Cygnes River near Richter,2024-09-26,Conductivity,347.0,mS/cm,38.596973,-95.378526,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-08-14,Silica,16.0,mg/L,39.3225,-95.7758,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-05-30,Escherichia coli,134.0,MPN/100mL,39.3225,-95.7758,2024
11NPSWRD_WQX-HTLN_TAPR_LFC35,TAPR Lower Fox Creek Site 35,2024-08-12,Specific conductance,501.0,uS/cm,38.435821,-96.549659,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-08-26,"Total Phosphorus, mixed forms",0.704,mg/L,39.980149,-97.003893,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-07-10,Vanadium,0.0056,mg/L,39.3758,-95.9183,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-07-10,"Total Nitrogen, mixed forms",0.39,mg/L,39.3225,-95.7758,2024
EPA_R7_WQX-SC555,Marais des Cygnes River near Richter,2024-10-10,"Temperature, water",17.659,deg C,38.596973,-95.378526,2024
11NPSWRD_WQX-HTLN_TAPR_MID01,TAPR Middle Site 01,2024-08-12,Dissolved oxygen (DO),7.49,mg/L,38.438094,-96.557908,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-05-30,Metolachlor,1.0,ug/L,39.3758,-95.9183,2024
EPA_R7_WQX-SC638,Captain Creek near Eudora,2024-09-26,"Temperature, water",19.93,deg C,38.94317,-95.06243,2024
11NPSWRD_WQX-HTLN_TAPR_MPC36,TAPR Middle Palmer Creek Site 36,2024-08-13,Specific conductance,86.29632,uS/cm,38.492561,-96.58363,2024
EPA_R7_WQX-SC564,Labette Creek near Labette,2024-10-07,Conductivity,510.0,mS/cm,37.22995,-95.1975,2024
EPA_R7_WQX-LKR05,Ninemile Creek,2024-06-06,"Temperature, water",25.0,deg C,39.0104,-95.0563,2024
EPA_R7_WQX-LKR01,Crooked Creek,2024-08-15,Turbidity,217.13,NTU,39.430376,-95.235513,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-12-05,Kjeldahl nitrogen,0.628,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-06-25,"Total Phosphorus, mixed forms",0.75,mg/L,39.992569,-97.931967,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-08-12,Specific conductance,752.0,umho/cm,39.992569,-97.931967,2024
EPA_R7_WQX-SC722,Mosquito Creek near Troy,2024-09-26,Total Coliform,2419.6,MPN/100mL,39.8489,-95.10136,2024
EPA_R7_WQX-LKR04,Tonganoxie Creek,2024-06-06,Conductivity,515.0,uS/cm,39.12889,-95.0898,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-07-10,Fluoride,0.29,mg/L,39.3758,-95.9183,2024
EPA_R7_WQX-SC611,Big Creek near Chanute,2024-09-23,Total Coliform,2419.6,MPN/100mL,37.64523,-95.34185,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-07-30,Dissolved oxygen (DO),8.2,mg/L,39.992569,-97.931967,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-05-30,Potassium,7.5,mg/L,39.2658,-95.8864,2024
EPA_R7_WQX-SC558,Big Sugar Creek near Trading Post,2024-09-24,Dissolved oxygen (DO),5.6,mg/L,38.24249,-94.72385,2024
EPA_R7_WQX-HSG2,HSG Outflow,2024-09-16,Barium,136.0,ug/L,39.050213351,-94.8829989647,2024
EPA_R7_WQX-SC611,Big Creek near Chanute,2024-10-10,"Temperature, water",16.4,deg C,37.64523,-95.34185,2024
EPA_R7_WQX-SC605,Cherry Creek near Faulkner,2024-09-23,pH,7.1,,37.10569,-95.04723,2024
EPA_R7_WQX-SC745,Marais des Cygnes near Trading Post,2024-09-24,Turbidity,28.2,NTU,38.218466,-94.612755,2024
EPA_R7_WQX-SC105,Verdigris River near Sycamore,2024-10-07,Total Coliform,1732.9,MPN/100mL,37.32676,-95.68463,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-08-14,Total Kjeldahl nitrogen (Organic N & NH3),0.48,mg/L,39.3758,-95.9183,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-05-06,Specific conductance,394.0,umho/cm,39.992569,-97.931967,2024
EPA_R7_WQX-SC617,Drywood Creek near Garland,2024-09-24,pH,7.7,,37.694349,-94.648915,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-05-21,Kjeldahl nitrogen,0.654,mg/L,39.992569,-97.931967,2024
EPA_R7_WQX-SC206,Marais des Cygnes near Trading Post,2024-10-11,Conductivity,363.6,mS/cm,38.248931,-94.686329,2024
PEORIAWATER-SP3,Spring River 3,2024-12-17,"Temperature, water",7.76,deg C,37.020535615,-94.7212612884,2024
EPA_R7_WQX-KVC5,KVC2 Outflow,2024-09-16,"Total Phosphorus, mixed forms",0.553,mg/L,39.0590862782,-94.7668430563,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-05-20,Dissolved oxygen (DO),8.8,mg/L,39.980149,-97.003893,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-07-17,Total Kjeldahl nitrogen (Organic N & NH3),0.27,mg/L,39.3225,-95.7758,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-06-03,Atrazine,21.91,ug/L,39.992569,-97.931967,2024
EPA_R7_WQX-SC605,Cherry Creek near Faulkner,2024-10-07,Total Coliform,2419.6,MPN/100mL,37.10569,-95.04723,2024
EPA_R7_WQX-SC206,Marais des Cygnes near Trading Post,2024-10-11,"Temperature, water",20.281,deg C,38.248931,-94.686329,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-07-25,Silica,13.0,mg/L,39.3225,-95.7758,2024
EPA_R7_WQX-KVC3,KVC1 Downstream,2024-09-16,Settleable solids,62.2,mg/L,39.0442055183,-94.7967725252,2024
